n;Task1;Task2;Task3
5513;4;16539;60786338
5514;4;16542;60808392
5515;4;16545;60830450
5516;4;16548;60852512
5517;4;16551;60874578
5518;4;16554;60896648
5519;4;16557;60918722
5520;4;16560;60940800
5521;4;16563;60962882
5522;4;16566;60984968
5523;4;16569;61007058
5524;4;16572;61029152
5525;4;16575;61051250
5526;4;16578;61073352
5527;4;16581;61095458
5528;4;16584;61117568
5529;4;16587;61139682
5530;4;16590;61161800
5531;4;16593;61183922
5532;4;16596;61206048
5533;4;16599;61228178
5534;4;16602;61250312
5535;4;16605;61272450
5536;4;16608;61294592
5537;4;16611;61316738
5538;4;16614;61338888
5539;4;16617;61361042
5540;4;16620;61383200
5541;4;16623;61405362
5542;4;16626;61427528
5543;4;16629;61449698
5544;4;16632;61471872
5545;4;16635;61494050
5546;4;16638;61516232
5547;4;16641;61538418
5548;4;16644;61560608
5549;4;16647;61582802
5550;4;16650;61605000
5551;4;16653;61627202
5552;4;16656;61649408
5553;4;16659;61671618
5554;4;16662;61693832
5555;4;16665;61716050
5556;4;16668;61738272
5557;4;16671;61760498
5558;4;16674;61782728
5559;4;16677;61804962
5560;4;16680;61827200
5561;4;16683;61849442
5562;4;16686;61871688
5563;4;16689;61893938
5564;4;16692;61916192
5565;4;16695;61938450
5566;4;16698;61960712
5567;4;16701;61982978
5568;4;16704;62005248
5569;4;16707;62027522
5570;4;16710;62049800
5571;4;16713;62072082
5572;4;16716;62094368
5573;4;16719;62116658
5574;4;16722;62138952
5575;4;16725;62161250
5576;4;16728;62183552
5577;4;16731;62205858
5578;4;16734;62228168
5579;4;16737;62250482
5580;4;16740;62272800
5581;4;16743;62295122
5582;4;16746;62317448
5583;4;16749;62339778
5584;4;16752;62362112
5585;4;16755;62384450
5586;4;16758;62406792
5587;4;16761;62429138
5588;4;16764;62451488
5589;4;16767;62473842
5590;4;16770;62496200
5591;4;16773;62518562
5592;4;16776;62540928
5593;4;16779;62563298
5594;4;16782;62585672
5595;4;16785;62608050
5596;4;16788;62630432
5597;4;16791;62652818
5598;4;16794;62675208
5599;4;16797;62697602
5600;4;16800;62720000
5601;4;16803;62742402
5602;4;16806;62764808
5603;4;16809;62787218
5604;4;16812;62809632
5605;4;16815;62832050
5606;4;16818;62854472
5607;4;16821;62876898
5608;4;16824;62899328
5609;4;16827;62921762
5610;4;16830;62944200
5611;4;16833;62966642
5612;4;16836;62989088
5613;4;16839;63011538
5614;4;16842;63033992
5615;4;16845;63056450
5616;4;16848;63078912
5617;4;16851;63101378
5618;4;16854;63123848
5619;4;16857;63146322
5620;4;16860;63168800
5621;4;16863;63191282
5622;4;16866;63213768
5623;4;16869;63236258
5624;4;16872;63258752
5625;4;16875;63281250
5626;4;16878;63303752
5627;4;16881;63326258
5628;4;16884;63348768
5629;4;16887;63371282
5630;4;16890;63393800
5631;4;16893;63416322
5632;4;16896;63438848
5633;4;16899;63461378
5634;4;16902;63483912
5635;4;16905;63506450
5636;4;16908;63528992
5637;4;16911;63551538
5638;4;16914;63574088
5639;4;16917;63596642
5640;4;16920;63619200
5641;4;16923;63641762
5642;4;16926;63664328
5643;4;16929;63686898
5644;4;16932;63709472
5645;4;16935;63732050
5646;4;16938;63754632
5647;4;16941;63777218
5648;4;16944;63799808
5649;4;16947;63822402
5650;4;16950;63845000
5651;4;16953;63867602
5652;4;16956;63890208
5653;4;16959;63912818
5654;4;16962;63935432
5655;4;16965;63958050
5656;4;16968;63980672
5657;4;16971;64003298
5658;4;16974;64025928
5659;4;16977;64048562
5660;4;16980;64071200
5661;4;16983;64093842
5662;4;16986;64116488
5663;4;16989;64139138
5664;4;16992;64161792
5665;4;16995;64184450
5666;4;16998;64207112
5667;4;17001;64229778
5668;4;17004;64252448
5669;4;17007;64275122
5670;4;17010;64297800
5671;4;17013;64320482
5672;4;17016;64343168
5673;4;17019;64365858
5674;4;17022;64388552
5675;4;17025;64411250
5676;4;17028;64433952
5677;4;17031;64456658
5678;4;17034;64479368
5679;4;17037;64502082
5680;4;17040;64524800
5681;4;17043;64547522
5682;4;17046;64570248
5683;4;17049;64592978
5684;4;17052;64615712
5685;4;17055;64638450
5686;4;17058;64661192
5687;4;17061;64683938
5688;4;17064;64706688
5689;4;17067;64729442
5690;4;17070;64752200
5691;4;17073;64774962
5692;4;17076;64797728
5693;4;17079;64820498
5694;4;17082;64843272
5695;4;17085;64866050
5696;4;17088;64888832
5697;4;17091;64911618
5698;4;17094;64934408
5699;4;17097;64957202
5700;4;17100;64980000
5701;4;17103;65002802
5702;4;17106;65025608
5703;4;17109;65048418
5704;4;17112;65071232
5705;4;17115;65094050
5706;4;17118;65116872
5707;4;17121;65139698
5708;4;17124;65162528
5709;4;17127;65185362
5710;4;17130;65208200
5711;4;17133;65231042
5712;4;17136;65253888
5713;4;17139;65276738
5714;4;17142;65299592
5715;4;17145;65322450
5716;4;17148;65345312
5717;4;17151;65368178
5718;4;17154;65391048
5719;4;17157;65413922
5720;4;17160;65436800
5721;4;17163;65459682
5722;4;17166;65482568
5723;4;17169;65505458
5724;4;17172;65528352
5725;4;17175;65551250
5726;4;17178;65574152
5727;4;17181;65597058
5728;4;17184;65619968
5729;4;17187;65642882
5730;4;17190;65665800
5731;4;17193;65688722
5732;4;17196;65711648
5733;4;17199;65734578
5734;4;17202;65757512
5735;4;17205;65780450
5736;4;17208;65803392
5737;4;17211;65826338
5738;4;17214;65849288
5739;4;17217;65872242
5740;4;17220;65895200
5741;4;17223;65918162
5742;4;17226;65941128
5743;4;17229;65964098
5744;4;17232;65987072
5745;4;17235;66010050
5746;4;17238;66033032
5747;4;17241;66056018
5748;4;17244;66079008
5749;4;17247;66102002
5750;4;17250;66125000
5751;4;17253;66148002
5752;4;17256;66171008
5753;4;17259;66194018
5754;4;17262;66217032
5755;4;17265;66240050
5756;4;17268;66263072
5757;4;17271;66286098
5758;4;17274;66309128
5759;4;17277;66332162
5760;4;17280;66355200
5761;4;17283;66378242
5762;4;17286;66401288
5763;4;17289;66424338
5764;4;17292;66447392
5765;4;17295;66470450
5766;4;17298;66493512
5767;4;17301;66516578
5768;4;17304;66539648
5769;4;17307;66562722
5770;4;17310;66585800
5771;4;17313;66608882
5772;4;17316;66631968
5773;4;17319;66655058
5774;4;17322;66678152
5775;4;17325;66701250
5776;4;17328;66724352
5777;4;17331;66747458
5778;4;17334;66770568
5779;4;17337;66793682
5780;4;17340;66816800
5781;4;17343;66839922
5782;4;17346;66863048
5783;4;17349;66886178
5784;4;17352;66909312
5785;4;17355;66932450
5786;4;17358;66955592
5787;4;17361;66978738
5788;4;17364;67001888
5789;4;17367;67025042
5790;4;17370;67048200
5791;4;17373;67071362
5792;4;17376;67094528
5793;4;17379;67117698
5794;4;17382;67140872
5795;4;17385;67164050
5796;4;17388;67187232
5797;4;17391;67210418
5798;4;17394;67233608
5799;4;17397;67256802
5800;4;17400;67280000
5801;4;17403;67303202
5802;4;17406;67326408
5803;4;17409;67349618
5804;4;17412;67372832
5805;4;17415;67396050
5806;4;17418;67419272
5807;4;17421;67442498
5808;4;17424;67465728
5809;4;17427;67488962
5810;4;17430;67512200
5811;4;17433;67535442
5812;4;17436;67558688
5813;4;17439;67581938
5814;4;17442;67605192
5815;4;17445;67628450
5816;4;17448;67651712
5817;4;17451;67674978
5818;4;17454;67698248
5819;4;17457;67721522
5820;4;17460;67744800
5821;4;17463;67768082
5822;4;17466;67791368
5823;4;17469;67814658
5824;4;17472;67837952
5825;4;17475;67861250
5826;4;17478;67884552
5827;4;17481;67907858
5828;4;17484;67931168
5829;4;17487;67954482
5830;4;17490;67977800
5831;4;17493;68001122
5832;4;17496;68024448
5833;4;17499;68047778
5834;4;17502;68071112
5835;4;17505;68094450
5836;4;17508;68117792
5837;4;17511;68141138
5838;4;17514;68164488
5839;4;17517;68187842
5840;4;17520;68211200
5841;4;17523;68234562
5842;4;17526;68257928
5843;4;17529;68281298
5844;4;17532;68304672
5845;4;17535;68328050
5846;4;17538;68351432
5847;4;17541;68374818
5848;4;17544;68398208
5849;4;17547;68421602
5850;4;17550;68445000
5851;4;17553;68468402
5852;4;17556;68491808
5853;4;17559;68515218
5854;4;17562;68538632
5855;4;17565;68562050
5856;4;17568;68585472
5857;4;17571;68608898
5858;4;17574;68632328
5859;4;17577;68655762
5860;4;17580;68679200
5861;4;17583;68702642
5862;4;17586;68726088
5863;4;17589;68749538
5864;4;17592;68772992
5865;4;17595;68796450
5866;4;17598;68819912
5867;4;17601;68843378
5868;4;17604;68866848
5869;4;17607;68890322
5870;4;17610;68913800
5871;4;17613;68937282
5872;4;17616;68960768
5873;4;17619;68984258
5874;4;17622;69007752
5875;4;17625;69031250
5876;4;17628;69054752
5877;4;17631;69078258
5878;4;17634;69101768
5879;4;17637;69125282
5880;4;17640;69148800
5881;4;17643;69172322
5882;4;17646;69195848
5883;4;17649;69219378
5884;4;17652;69242912
5885;4;17655;69266450
5886;4;17658;69289992
5887;4;17661;69313538
5888;4;17664;69337088
5889;4;17667;69360642
5890;4;17670;69384200
5891;4;17673;69407762
5892;4;17676;69431328
5893;4;17679;69454898
5894;4;17682;69478472
5895;4;17685;69502050
5896;4;17688;69525632
5897;4;17691;69549218
5898;4;17694;69572808
5899;4;17697;69596402
5900;4;17700;69620000
5901;4;17703;69643602
5902;4;17706;69667208
5903;4;17709;69690818
5904;4;17712;69714432
5905;4;17715;69738050
5906;4;17718;69761672
5907;4;17721;69785298
5908;4;17724;69808928
5909;4;17727;69832562
5910;4;17730;69856200
5911;4;17733;69879842
5912;4;17736;69903488
5913;4;17739;69927138
5914;4;17742;69950792
5915;4;17745;69974450
5916;4;17748;69998112
5917;4;17751;70021778
5918;4;17754;70045448
5919;4;17757;70069122
5920;4;17760;70092800
5921;4;17763;70116482
5922;4;17766;70140168
5923;4;17769;70163858
5924;4;17772;70187552
5925;4;17775;70211250
5926;4;17778;70234952
5927;4;17781;70258658
5928;4;17784;70282368
5929;4;17787;70306082
5930;4;17790;70329800
5931;4;17793;70353522
5932;4;17796;70377248
5933;4;17799;70400978
5934;4;17802;70424712
5935;4;17805;70448450
5936;4;17808;70472192
5937;4;17811;70495938
5938;4;17814;70519688
5939;4;17817;70543442
5940;4;17820;70567200
5941;4;17823;70590962
5942;4;17826;70614728
5943;4;17829;70638498
5944;4;17832;70662272
5945;4;17835;70686050
5946;4;17838;70709832
5947;4;17841;70733618
5948;4;17844;70757408
5949;4;17847;70781202
5950;4;17850;70805000
5951;4;17853;70828802
5952;4;17856;70852608
5953;4;17859;70876418
5954;4;17862;70900232
5955;4;17865;70924050
5956;4;17868;70947872
5957;4;17871;70971698
5958;4;17874;70995528
5959;4;17877;71019362
5960;4;17880;71043200
5961;4;17883;71067042
5962;4;17886;71090888
5963;4;17889;71114738
5964;4;17892;71138592
5965;4;17895;71162450
5966;4;17898;71186312
5967;4;17901;71210178
5968;4;17904;71234048
5969;4;17907;71257922
5970;4;17910;71281800
5971;4;17913;71305682
5972;4;17916;71329568
5973;4;17919;71353458
5974;4;17922;71377352
5975;4;17925;71401250
5976;4;17928;71425152
5977;4;17931;71449058
5978;4;17934;71472968
5979;4;17937;71496882
5980;4;17940;71520800
5981;4;17943;71544722
5982;4;17946;71568648
5983;4;17949;71592578
5984;4;17952;71616512
5985;4;17955;71640450
5986;4;17958;71664392
5987;4;17961;71688338
5988;4;17964;71712288
5989;4;17967;71736242
5990;4;17970;71760200
5991;4;17973;71784162
5992;4;17976;71808128
5993;4;17979;71832098
5994;4;17982;71856072
5995;4;17985;71880050
5996;4;17988;71904032
5997;4;17991;71928018
5998;4;17994;71952008
5999;4;17997;71976002
6000;4;18000;72000000
6001;4;18003;72024002
6002;4;18006;72048008
6003;4;18009;72072018
6004;4;18012;72096032
6005;4;18015;72120050
6006;4;18018;72144072
6007;4;18021;72168098
6008;4;18024;72192128
6009;4;18027;72216162
6010;4;18030;72240200
6011;4;18033;72264242
6012;4;18036;72288288
6013;4;18039;72312338
6014;4;18042;72336392
6015;4;18045;72360450
6016;4;18048;72384512
6017;4;18051;72408578
6018;4;18054;72432648
6019;4;18057;72456722
6020;4;18060;72480800
6021;4;18063;72504882
6022;4;18066;72528968
6023;4;18069;72553058
6024;4;18072;72577152
6025;4;18075;72601250
6026;4;18078;72625352
6027;4;18081;72649458
6028;4;18084;72673568
6029;4;18087;72697682
6030;4;18090;72721800
6031;4;18093;72745922
6032;4;18096;72770048
6033;4;18099;72794178
6034;4;18102;72818312
6035;4;18105;72842450
6036;4;18108;72866592
6037;4;18111;72890738
6038;4;18114;72914888
6039;4;18117;72939042
6040;4;18120;72963200
6041;4;18123;72987362
6042;4;18126;73011528
6043;4;18129;73035698
6044;4;18132;73059872
6045;4;18135;73084050
6046;4;18138;73108232
6047;4;18141;73132418
6048;4;18144;73156608
6049;4;18147;73180802
6050;4;18150;73205000
6051;4;18153;73229202
6052;4;18156;73253408
6053;4;18159;73277618
6054;4;18162;73301832
6055;4;18165;73326050
6056;4;18168;73350272
6057;4;18171;73374498
6058;4;18174;73398728
6059;4;18177;73422962
6060;4;18180;73447200
6061;4;18183;73471442
6062;4;18186;73495688
6063;4;18189;73519938
6064;4;18192;73544192
6065;4;18195;73568450
6066;4;18198;73592712
6067;4;18201;73616978
6068;4;18204;73641248
6069;4;18207;73665522
6070;4;18210;73689800
6071;4;18213;73714082
6072;4;18216;73738368
6073;4;18219;73762658
6074;4;18222;73786952
6075;4;18225;73811250
6076;4;18228;73835552
6077;4;18231;73859858
6078;4;18234;73884168
6079;4;18237;73908482
6080;4;18240;73932800
6081;4;18243;73957122
6082;4;18246;73981448
6083;4;18249;74005778
6084;4;18252;74030112
6085;4;18255;74054450
6086;4;18258;74078792
6087;4;18261;74103138
6088;4;18264;74127488
6089;4;18267;74151842
6090;4;18270;74176200
6091;4;18273;74200562
6092;4;18276;74224928
6093;4;18279;74249298
6094;4;18282;74273672
6095;4;18285;74298050
6096;4;18288;74322432
6097;4;18291;74346818
6098;4;18294;74371208
6099;4;18297;74395602
6100;4;18300;74420000
6101;4;18303;74444402
6102;4;18306;74468808
6103;4;18309;74493218
6104;4;18312;74517632
6105;4;18315;74542050
6106;4;18318;74566472
6107;4;18321;74590898
6108;4;18324;74615328
6109;4;18327;74639762
6110;4;18330;74664200
6111;4;18333;74688642
6112;4;18336;74713088
6113;4;18339;74737538
6114;4;18342;74761992
6115;4;18345;74786450
6116;4;18348;74810912
6117;4;18351;74835378
6118;4;18354;74859848
6119;4;18357;74884322
6120;4;18360;74908800
6121;4;18363;74933282
6122;4;18366;74957768
6123;4;18369;74982258
6124;4;18372;75006752
6125;4;18375;75031250
6126;4;18378;75055752
6127;4;18381;75080258
6128;4;18384;75104768
6129;4;18387;75129282
6130;4;18390;75153800
6131;4;18393;75178322
6132;4;18396;75202848
6133;4;18399;75227378
6134;4;18402;75251912
6135;4;18405;75276450
6136;4;18408;75300992
6137;4;18411;75325538
6138;4;18414;75350088
6139;4;18417;75374642
6140;4;18420;75399200
6141;4;18423;75423762
6142;4;18426;75448328
6143;4;18429;75472898
6144;4;18432;75497472
6145;4;18435;75522050
6146;4;18438;75546632
6147;4;18441;75571218
6148;4;18444;75595808
6149;4;18447;75620402
6150;4;18450;75645000
6151;4;18453;75669602
6152;4;18456;75694208
6153;4;18459;75718818
6154;4;18462;75743432
6155;4;18465;75768050
6156;4;18468;75792672
6157;4;18471;75817298
6158;4;18474;75841928
6159;4;18477;75866562
6160;4;18480;75891200
6161;4;18483;75915842
6162;4;18486;75940488
6163;4;18489;75965138
6164;4;18492;75989792
6165;4;18495;76014450
6166;4;18498;76039112
6167;4;18501;76063778
6168;4;18504;76088448
6169;4;18507;76113122
6170;4;18510;76137800
6171;4;18513;76162482
6172;4;18516;76187168
6173;4;18519;76211858
6174;4;18522;76236552
6175;4;18525;76261250
6176;4;18528;76285952
6177;4;18531;76310658
6178;4;18534;76335368
6179;4;18537;76360082
6180;4;18540;76384800
6181;4;18543;76409522
6182;4;18546;76434248
6183;4;18549;76458978
6184;4;18552;76483712
6185;4;18555;76508450
6186;4;18558;76533192
6187;4;18561;76557938
6188;4;18564;76582688
6189;4;18567;76607442
6190;4;18570;76632200
6191;4;18573;76656962
6192;4;18576;76681728
6193;4;18579;76706498
6194;4;18582;76731272
6195;4;18585;76756050
6196;4;18588;76780832
6197;4;18591;76805618
6198;4;18594;76830408
6199;4;18597;76855202
6200;4;18600;76880000
6201;4;18603;76904802
6202;4;18606;76929608
6203;4;18609;76954418
6204;4;18612;76979232
6205;4;18615;77004050
6206;4;18618;77028872
6207;4;18621;77053698
6208;4;18624;77078528
6209;4;18627;77103362
6210;4;18630;77128200
6211;4;18633;77153042
6212;4;18636;77177888
6213;4;18639;77202738
6214;4;18642;77227592
6215;4;18645;77252450
6216;4;18648;77277312
6217;4;18651;77302178
6218;4;18654;77327048
6219;4;18657;77351922
6220;4;18660;77376800
6221;4;18663;77401682
6222;4;18666;77426568
6223;4;18669;77451458
6224;4;18672;77476352
6225;4;18675;77501250
6226;4;18678;77526152
6227;4;18681;77551058
6228;4;18684;77575968
6229;4;18687;77600882
6230;4;18690;77625800
6231;4;18693;77650722
6232;4;18696;77675648
6233;4;18699;77700578
6234;4;18702;77725512
6235;4;18705;77750450
6236;4;18708;77775392
6237;4;18711;77800338
6238;4;18714;77825288
6239;4;18717;77850242
6240;4;18720;77875200
6241;4;18723;77900162
6242;4;18726;77925128
6243;4;18729;77950098
6244;4;18732;77975072
6245;4;18735;78000050
6246;4;18738;78025032
6247;4;18741;78050018
6248;4;18744;78075008
6249;4;18747;78100002
6250;4;18750;78125000
6251;4;18753;78150002
6252;4;18756;78175008
6253;4;18759;78200018
6254;4;18762;78225032
6255;4;18765;78250050
6256;4;18768;78275072
6257;4;18771;78300098
6258;4;18774;78325128
6259;4;18777;78350162
6260;4;18780;78375200
6261;4;18783;78400242
6262;4;18786;78425288
6263;4;18789;78450338
6264;4;18792;78475392
6265;4;18795;78500450
6266;4;18798;78525512
6267;4;18801;78550578
6268;4;18804;78575648
6269;4;18807;78600722
6270;4;18810;78625800
6271;4;18813;78650882
6272;4;18816;78675968
6273;4;18819;78701058
6274;4;18822;78726152
6275;4;18825;78751250
6276;4;18828;78776352
6277;4;18831;78801458
6278;4;18834;78826568
6279;4;18837;78851682
6280;4;18840;78876800
6281;4;18843;78901922
6282;4;18846;78927048
6283;4;18849;78952178
6284;4;18852;78977312
6285;4;18855;79002450
6286;4;18858;79027592
6287;4;18861;79052738
6288;4;18864;79077888
6289;4;18867;79103042
6290;4;18870;79128200
6291;4;18873;79153362
6292;4;18876;79178528
6293;4;18879;79203698
6294;4;18882;79228872
6295;4;18885;79254050
6296;4;18888;79279232
6297;4;18891;79304418
6298;4;18894;79329608
6299;4;18897;79354802
6300;4;18900;79380000
6301;4;18903;79405202
6302;4;18906;79430408
6303;4;18909;79455618
6304;4;18912;79480832
6305;4;18915;79506050
6306;4;18918;79531272
6307;4;18921;79556498
6308;4;18924;79581728
6309;4;18927;79606962
6310;4;18930;79632200
6311;4;18933;79657442
6312;4;18936;79682688
6313;4;18939;79707938
6314;4;18942;79733192
6315;4;18945;79758450
6316;4;18948;79783712
6317;4;18951;79808978
6318;4;18954;79834248
6319;4;18957;79859522
6320;4;18960;79884800
6321;4;18963;79910082
6322;4;18966;79935368
6323;4;18969;79960658
6324;4;18972;79985952
6325;4;18975;80011250
6326;4;18978;80036552
6327;4;18981;80061858
6328;4;18984;80087168
6329;4;18987;80112482
6330;4;18990;80137800
6331;4;18993;80163122
6332;4;18996;80188448
6333;4;18999;80213778
6334;4;19002;80239112
6335;4;19005;80264450
6336;4;19008;80289792
6337;4;19011;80315138
6338;4;19014;80340488
6339;4;19017;80365842
6340;4;19020;80391200
6341;4;19023;80416562
6342;4;19026;80441928
6343;4;19029;80467298
6344;4;19032;80492672
6345;4;19035;80518050
6346;4;19038;80543432
6347;4;19041;80568818
6348;4;19044;80594208
6349;4;19047;80619602
6350;4;19050;80645000
6351;4;19053;80670402
6352;4;19056;80695808
6353;4;19059;80721218
6354;4;19062;80746632
6355;4;19065;80772050
6356;4;19068;80797472
6357;4;19071;80822898
6358;4;19074;80848328
6359;4;19077;80873762
6360;4;19080;80899200
6361;4;19083;80924642
6362;4;19086;80950088
6363;4;19089;80975538
6364;4;19092;81000992
6365;4;19095;81026450
6366;4;19098;81051912
6367;4;19101;81077378
6368;4;19104;81102848
6369;4;19107;81128322
6370;4;19110;81153800
6371;4;19113;81179282
6372;4;19116;81204768
6373;4;19119;81230258
6374;4;19122;81255752
6375;4;19125;81281250
6376;4;19128;81306752
6377;4;19131;81332258
6378;4;19134;81357768
6379;4;19137;81383282
6380;4;19140;81408800
6381;4;19143;81434322
6382;4;19146;81459848
6383;4;19149;81485378
6384;4;19152;81510912
6385;4;19155;81536450
6386;4;19158;81561992
6387;4;19161;81587538
6388;4;19164;81613088
6389;4;19167;81638642
6390;4;19170;81664200
6391;4;19173;81689762
6392;4;19176;81715328
6393;4;19179;81740898
6394;4;19182;81766472
6395;4;19185;81792050
6396;4;19188;81817632
6397;4;19191;81843218
6398;4;19194;81868808
6399;4;19197;81894402
6400;4;19200;81920000
6401;4;19203;81945602
6402;4;19206;81971208
6403;4;19209;81996818
6404;4;19212;82022432
6405;4;19215;82048050
6406;4;19218;82073672
6407;4;19221;82099298
6408;4;19224;82124928
6409;4;19227;82150562
6410;4;19230;82176200
6411;4;19233;82201842
6412;4;19236;82227488
6413;4;19239;82253138
6414;4;19242;82278792
6415;4;19245;82304450
6416;4;19248;82330112
6417;4;19251;82355778
6418;4;19254;82381448
6419;4;19257;82407122
6420;4;19260;82432800
6421;4;19263;82458482
6422;4;19266;82484168
6423;4;19269;82509858
6424;4;19272;82535552
6425;4;19275;82561250
6426;4;19278;82586952
6427;4;19281;82612658
6428;4;19284;82638368
6429;4;19287;82664082
6430;4;19290;82689800
6431;4;19293;82715522
6432;4;19296;82741248
6433;4;19299;82766978
6434;4;19302;82792712
6435;4;19305;82818450
6436;4;19308;82844192
6437;4;19311;82869938
6438;4;19314;82895688
6439;4;19317;82921442
6440;4;19320;82947200
6441;4;19323;82972962
6442;4;19326;82998728
6443;4;19329;83024498
6444;4;19332;83050272
6445;4;19335;83076050
6446;4;19338;83101832
6447;4;19341;83127618
6448;4;19344;83153408
6449;4;19347;83179202
6450;4;19350;83205000
6451;4;19353;83230802
6452;4;19356;83256608
6453;4;19359;83282418
6454;4;19362;83308232
6455;4;19365;83334050
6456;4;19368;83359872
6457;4;19371;83385698
6458;4;19374;83411528
6459;4;19377;83437362
6460;4;19380;83463200
6461;4;19383;83489042
6462;4;19386;83514888
6463;4;19389;83540738
6464;4;19392;83566592
6465;4;19395;83592450
6466;4;19398;83618312
6467;4;19401;83644178
6468;4;19404;83670048
6469;4;19407;83695922
6470;4;19410;83721800
6471;4;19413;83747682
6472;4;19416;83773568
6473;4;19419;83799458
6474;4;19422;83825352
6475;4;19425;83851250
6476;4;19428;83877152
6477;4;19431;83903058
6478;4;19434;83928968
6479;4;19437;83954882
6480;4;19440;83980800
6481;4;19443;84006722
6482;4;19446;84032648
6483;4;19449;84058578
6484;4;19452;84084512
6485;4;19455;84110450
6486;4;19458;84136392
6487;4;19461;84162338
6488;4;19464;84188288
6489;4;19467;84214242
6490;4;19470;84240200
6491;4;19473;84266162
6492;4;19476;84292128
6493;4;19479;84318098
6494;4;19482;84344072
6495;4;19485;84370050
6496;4;19488;84396032
6497;4;19491;84422018
6498;4;19494;84448008
6499;4;19497;84474002
6500;4;19500;84500000
6501;4;19503;84526002
6502;4;19506;84552008
6503;4;19509;84578018
6504;4;19512;84604032
6505;4;19515;84630050
6506;4;19518;84656072
6507;4;19521;84682098
6508;4;19524;84708128
6509;4;19527;84734162
6510;4;19530;84760200
6511;4;19533;84786242
6512;4;19536;84812288
6513;4;19539;84838338
6514;4;19542;84864392
6515;4;19545;84890450
6516;4;19548;84916512
6517;4;19551;84942578
6518;4;19554;84968648
6519;4;19557;84994722
6520;4;19560;85020800
6521;4;19563;85046882
6522;4;19566;85072968
6523;4;19569;85099058
6524;4;19572;85125152
6525;4;19575;85151250
6526;4;19578;85177352
6527;4;19581;85203458
6528;4;19584;85229568
6529;4;19587;85255682
6530;4;19590;85281800
6531;4;19593;85307922
6532;4;19596;85334048
6533;4;19599;85360178
6534;4;19602;85386312
6535;4;19605;85412450
6536;4;19608;85438592
6537;4;19611;85464738
6538;4;19614;85490888
6539;4;19617;85517042
6540;4;19620;85543200
6541;4;19623;85569362
6542;4;19626;85595528
6543;4;19629;85621698
6544;4;19632;85647872
6545;4;19635;85674050
6546;4;19638;85700232
6547;4;19641;85726418
6548;4;19644;85752608
6549;4;19647;85778802
6550;4;19650;85805000
6551;4;19653;85831202
6552;4;19656;85857408
6553;4;19659;85883618
6554;4;19662;85909832
6555;4;19665;85936050
6556;4;19668;85962272
6557;4;19671;85988498
6558;4;19674;86014728
6559;4;19677;86040962
6560;4;19680;86067200
6561;4;19683;86093442
6562;4;19686;86119688
6563;4;19689;86145938
6564;4;19692;86172192
6565;4;19695;86198450
6566;4;19698;86224712
6567;4;19701;86250978
6568;4;19704;86277248
6569;4;19707;86303522
6570;4;19710;86329800
6571;4;19713;86356082
6572;4;19716;86382368
6573;4;19719;86408658
6574;4;19722;86434952
6575;4;19725;86461250
6576;4;19728;86487552
6577;4;19731;86513858
6578;4;19734;86540168
6579;4;19737;86566482
6580;4;19740;86592800
6581;4;19743;86619122
6582;4;19746;86645448
6583;4;19749;86671778
6584;4;19752;86698112
6585;4;19755;86724450
6586;4;19758;86750792
6587;4;19761;86777138
6588;4;19764;86803488
6589;4;19767;86829842
6590;4;19770;86856200
6591;4;19773;86882562
6592;4;19776;86908928
6593;4;19779;86935298
6594;4;19782;86961672
6595;4;19785;86988050
6596;4;19788;87014432
6597;4;19791;87040818
6598;4;19794;87067208
6599;4;19797;87093602
6600;4;19800;87120000
6601;4;19803;87146402
6602;4;19806;87172808
6603;4;19809;87199218
6604;4;19812;87225632
6605;4;19815;87252050
6606;4;19818;87278472
6607;4;19821;87304898
6608;4;19824;87331328
6609;4;19827;87357762
6610;4;19830;87384200
6611;4;19833;87410642
6612;4;19836;87437088
6613;4;19839;87463538
6614;4;19842;87489992
6615;4;19845;87516450
6616;4;19848;87542912
6617;4;19851;87569378
6618;4;19854;87595848
6619;4;19857;87622322
6620;4;19860;87648800
6621;4;19863;87675282
6622;4;19866;87701768
6623;4;19869;87728258
6624;4;19872;87754752
6625;4;19875;87781250
6626;4;19878;87807752
6627;4;19881;87834258
6628;4;19884;87860768
6629;4;19887;87887282
6630;4;19890;87913800
6631;4;19893;87940322
6632;4;19896;87966848
6633;4;19899;87993378
6634;4;19902;88019912
6635;4;19905;88046450
6636;4;19908;88072992
6637;4;19911;88099538
6638;4;19914;88126088
6639;4;19917;88152642
6640;4;19920;88179200
6641;4;19923;88205762
6642;4;19926;88232328
6643;4;19929;88258898
6644;4;19932;88285472
6645;4;19935;88312050
6646;4;19938;88338632
6647;4;19941;88365218
6648;4;19944;88391808
6649;4;19947;88418402
6650;4;19950;88445000
6651;4;19953;88471602
6652;4;19956;88498208
6653;4;19959;88524818
6654;4;19962;88551432
6655;4;19965;88578050
6656;4;19968;88604672
6657;4;19971;88631298
6658;4;19974;88657928
6659;4;19977;88684562
6660;4;19980;88711200
6661;4;19983;88737842
6662;4;19986;88764488
6663;4;19989;88791138
6664;4;19992;88817792
6665;4;19995;88844450
6666;4;19998;88871112
6667;4;20001;88897778
6668;4;20004;88924448
6669;4;20007;88951122
6670;4;20010;88977800
6671;4;20013;89004482
6672;4;20016;89031168
6673;4;20019;89057858
6674;4;20022;89084552
6675;4;20025;89111250
6676;4;20028;89137952
6677;4;20031;89164658
