n;Task1;Task2;Task3
479;4;1437;458882
480;4;1440;460800
481;4;1443;462722
482;4;1446;464648
483;4;1449;466578
484;4;1452;468512
485;4;1455;470450
486;4;1458;472392
487;4;1461;474338
488;4;1464;476288
489;4;1467;478242
490;4;1470;480200
491;4;1473;482162
492;4;1476;484128
493;4;1479;486098
494;4;1482;488072
495;4;1485;490050
496;4;1488;492032
497;4;1491;494018
498;4;1494;496008
499;4;1497;498002
500;4;1500;500000
501;4;1503;502002
502;4;1506;504008
503;4;1509;506018
504;4;1512;508032
505;4;1515;510050
506;4;1518;512072
507;4;1521;514098
508;4;1524;516128
509;4;1527;518162
510;4;1530;520200
511;4;1533;522242
512;4;1536;524288
513;4;1539;526338
514;4;1542;528392
515;4;1545;530450
516;4;1548;532512
517;4;1551;534578
518;4;1554;536648
519;4;1557;538722
520;4;1560;540800
521;4;1563;542882
522;4;1566;544968
523;4;1569;547058
524;4;1572;549152
525;4;1575;551250
526;4;1578;553352
527;4;1581;555458
528;4;1584;557568
529;4;1587;559682
530;4;1590;561800
531;4;1593;563922
532;4;1596;566048
533;4;1599;568178
534;4;1602;570312
535;4;1605;572450
536;4;1608;574592
537;4;1611;576738
538;4;1614;578888
539;4;1617;581042
540;4;1620;583200
541;4;1623;585362
542;4;1626;587528
543;4;1629;589698
544;4;1632;591872
545;4;1635;594050
546;4;1638;596232
547;4;1641;598418
548;4;1644;600608
549;4;1647;602802
550;4;1650;605000
551;4;1653;607202
552;4;1656;609408
553;4;1659;611618
554;4;1662;613832
555;4;1665;616050
556;4;1668;618272
557;4;1671;620498
558;4;1674;622728
559;4;1677;624962
560;4;1680;627200
561;4;1683;629442
562;4;1686;631688
563;4;1689;633938
564;4;1692;636192
565;4;1695;638450
566;4;1698;640712
567;4;1701;642978
568;4;1704;645248
569;4;1707;647522
570;4;1710;649800
571;4;1713;652082
572;4;1716;654368
573;4;1719;656658
574;4;1722;658952
575;4;1725;661250
576;4;1728;663552
577;4;1731;665858
578;4;1734;668168
579;4;1737;670482
580;4;1740;672800
581;4;1743;675122
582;4;1746;677448
583;4;1749;679778
584;4;1752;682112
585;4;1755;684450
586;4;1758;686792
587;4;1761;689138
588;4;1764;691488
589;4;1767;693842
590;4;1770;696200
591;4;1773;698562
592;4;1776;700928
593;4;1779;703298
594;4;1782;705672
595;4;1785;708050
596;4;1788;710432
597;4;1791;712818
598;4;1794;715208
599;4;1797;717602
600;4;1800;720000
601;4;1803;722402
602;4;1806;724808
603;4;1809;727218
604;4;1812;729632
605;4;1815;732050
606;4;1818;734472
607;4;1821;736898
608;4;1824;739328
609;4;1827;741762
610;4;1830;744200
611;4;1833;746642
612;4;1836;749088
613;4;1839;751538
614;4;1842;753992
615;4;1845;756450
616;4;1848;758912
617;4;1851;761378
618;4;1854;763848
619;4;1857;766322
620;4;1860;768800
621;4;1863;771282
622;4;1866;773768
623;4;1869;776258
624;4;1872;778752
625;4;1875;781250
626;4;1878;783752
627;4;1881;786258
628;4;1884;788768
629;4;1887;791282
630;4;1890;793800
631;4;1893;796322
632;4;1896;798848
633;4;1899;801378
634;4;1902;803912
635;4;1905;806450
636;4;1908;808992
637;4;1911;811538
638;4;1914;814088
639;4;1917;816642
640;4;1920;819200
641;4;1923;821762
642;4;1926;824328
643;4;1929;826898
644;4;1932;829472
645;4;1935;832050
646;4;1938;834632
647;4;1941;837218
648;4;1944;839808
649;4;1947;842402
650;4;1950;845000
651;4;1953;847602
652;4;1956;850208
653;4;1959;852818
654;4;1962;855432
655;4;1965;858050
656;4;1968;860672
657;4;1971;863298
658;4;1974;865928
659;4;1977;868562
660;4;1980;871200
661;4;1983;873842
662;4;1986;876488
663;4;1989;879138
664;4;1992;881792
665;4;1995;884450
666;4;1998;887112
667;4;2001;889778
668;4;2004;892448
669;4;2007;895122
670;4;2010;897800
671;4;2013;900482
672;4;2016;903168
673;4;2019;905858
674;4;2022;908552
675;4;2025;911250
676;4;2028;913952
677;4;2031;916658
678;4;2034;919368
679;4;2037;922082
680;4;2040;924800
681;4;2043;927522
682;4;2046;930248
683;4;2049;932978
684;4;2052;935712
685;4;2055;938450
686;4;2058;941192
687;4;2061;943938
688;4;2064;946688
689;4;2067;949442
690;4;2070;952200
691;4;2073;954962
692;4;2076;957728
693;4;2079;960498
694;4;2082;963272
695;4;2085;966050
696;4;2088;968832
697;4;2091;971618
698;4;2094;974408
699;4;2097;977202
700;4;2100;980000
701;4;2103;982802
702;4;2106;985608
703;4;2109;988418
704;4;2112;991232
705;4;2115;994050
706;4;2118;996872
707;4;2121;999698
708;4;2124;1002528
709;4;2127;1005362
710;4;2130;1008200
711;4;2133;1011042
712;4;2136;1013888
713;4;2139;1016738
714;4;2142;1019592
